#Series Time Value
Total 12:25:16 642.999451
Total 12:25:18 802.751648
Total 12:25:20 694.031311
Total 12:25:22 707.605835
Total 12:25:24 825.140381
Total 12:25:26 757.377869
Total 12:25:28 762.970642
Total 12:25:30 0
Total 12:25:32 0
Total 12:25:34 0
Total 12:25:36 747.661926
Total 12:25:38 13.566148
Total 12:25:40 15.314192
Total 12:25:42 18.389973
Total 12:25:44 12.846757
Total 12:25:46 16.143162
Total 12:25:48 15.849815
Total 12:25:50 10.984486
Total 12:25:52 14.068827
Total 12:25:54 10.374144
Total 12:25:56 17.339087
Total 12:25:58 19.461123
Total 12:26:00 14.131736
Total 12:26:02 16.299749
Total 12:26:04 8.502809
Total 12:26:06 19.644913
Total 12:26:08 28.798231
Total 12:26:10 28.478012
Total 12:26:12 38.318077
Total 12:26:14 43.594563
Total 12:26:16 39.48877
Total 12:26:18 47.637581
Total 12:26:20 54.100399
Total 12:26:22 86.624344
Total 12:26:24 77.641731
Total 12:26:26 76.747398
Total 12:26:28 87.612083
Total 12:26:30 79.77037
Total 12:26:32 78.184067
Total 12:26:34 72.18895
Total 12:26:36 69.084908
Total 12:26:38 81.256454
Total 12:26:40 64.386162
Total 12:26:42 76.701508
Total 12:26:44 70.795372
Total 12:26:46 59.186871
Total 12:26:48 72.716423
Total 12:26:50 45.043175
Total 12:26:52 45.241455
Total 12:26:54 39.877232
Total 12:26:56 35.972424
Total 12:26:58 43.177727
Total 12:27:00 33.196877
Total 12:27:02 43.086296
Total 12:27:04 36.887466
Total 12:27:06 29.783134
Total 12:27:08 44.971298
Total 12:27:10 43.515892
Total 12:27:12 45.80928
Total 12:27:14 49.293953
Total 12:27:16 58.00304
Total 12:27:18 83.957413
Total 12:27:20 66.756554
Total 12:27:22 78.193077
Total 12:27:24 73.423126
Total 12:27:26 97.083504
Total 12:27:28 83.828407
Total 12:27:30 87.103493
Total 12:27:32 83.714661
Total 12:27:34 79.746872
Total 12:27:36 71.137428
Total 12:27:38 83.185471
Total 12:27:40 58.853516
Total 12:27:42 71.496864
Total 12:27:44 48.485878
Total 12:27:46 52.771023
Total 12:27:48 55.488834
Total 12:27:50 48.075695
Total 12:27:52 48.092003
Total 12:27:54 67.353683
Total 12:27:56 68.874886
Total 12:27:58 57.720631
Total 12:28:00 70.007019
Total 12:28:02 79.874016
Total 12:28:04 84.984993
Total 12:28:06 92.301811
Total 12:28:08 95.553772
Total 12:28:10 92.150246
Total 12:28:12 75.465813
Total 12:28:14 91.641418
Total 12:28:16 101.784744
Total 12:28:18 101.491226
Total 12:28:20 93.833931
Total 12:28:22 97.185509
Total 12:28:24 77.343071
Total 12:28:26 86.216545
Total 12:28:28 71.691566
Total 12:28:30 82.786461
Total 12:28:32 88.595299
Total 12:28:34 69.820648
Total 12:28:36 65.641144
Total 12:28:38 61.930691
Total 12:28:40 57.978775
Total 12:28:42 56.414524
Total 12:28:44 64.359901
Total 12:28:46 58.946419
Total 12:28:48 51.542141
Total 12:28:50 38.849297
Total 12:28:52 40.498734
Total 12:28:54 36.555664
Total 12:28:56 34.124611
Total 12:28:58 24.225672
Total 12:29:00 17.623474
Total 12:29:02 26.096554
Total 12:29:04 37.2766
Total 12:29:06 10.294409
Total 12:29:08 10.666659
Total 12:29:10 18.408466
Total 12:29:12 21.718378
Total 12:29:14 9.378737
Total 12:29:16 11.719268
Total 12:29:18 5.914184
Total 12:29:20 7.600854
Total 12:29:22 7.82358
Total 12:29:24 6.475488
Total 12:29:26 4.956716
Total 12:29:28 4.149856
Total 12:29:30 5.425379
Total 12:29:32 5.343019
Total 12:29:34 1.998041
Total 12:29:36 3.070937
Total 12:29:38 5.335169
Total 12:29:40 5.256544
Total 12:29:42 7.357206
Total 12:29:44 10.692027
Total 12:29:46 11.185119
Total 12:29:48 24.623728
Total 12:29:50 23.801996
Total 12:29:52 33.943851
Total 12:29:54 46.664852
Total 12:29:56 47.922447
Total 12:29:58 53.585438
Total 12:30:00 59.425018
Total 12:30:02 81.603584
Total 12:30:04 80.414551
Total 12:30:06 100.393806
Total 12:30:08 79.97348
Total 12:30:10 70.640968
Total 12:30:12 97.056168
Total 12:30:14 90.021225
Total 12:30:16 88.146965
Total 12:30:18 73.017784
Total 12:30:20 87.141327
Total 12:30:22 65.315224
Total 12:30:24 69.137306
Total 12:30:26 66.766388
Total 12:30:28 42.559856
Total 12:30:30 65.948441
Total 12:30:32 42.037315
Total 12:30:34 31.631123
Total 12:30:36 35.250351
Total 12:30:38 21.173063
Total 12:30:40 9.532919
Total 12:30:42 23.557961
